filename,true_class,predicted_class,score_class_0,score_class_1,score_class_2,score_class_3,score_class_4
002c21358ce6.png,anodr,anodr,0.929906,0.011371,0.017087,0.023958,0.017677
005b95c28852.png,anodr,anodr,0.929302,0.010978,0.016482,0.021157,0.022080
00cc2b75cddd.png,anodr,anodr,0.933909,0.017563,0.011047,0.021541,0.015940
0182152c50de.png,anodr,anodr,0.940312,0.012176,0.011517,0.019730,0.016265
02cd34a85b24.png,anodr,anodr,0.927859,0.019017,0.015531,0.019923,0.017670
03b373718013.png,anodr,anodr,0.944403,0.016151,0.009762,0.016493,0.013193
04aef84a2cc1.png,anodr,anodr,0.942513,0.008169,0.016954,0.016787,0.015577
05b1bb2bdb81.png,anodr,anodr,0.954930,0.008283,0.008732,0.014134,0.013921
07596907347b.png,anodr,anodr,0.937933,0.010224,0.018438,0.018394,0.015011
07751b94a88a.png,anodr,anodr,0.924313,0.021187,0.016037,0.021342,0.017121
0790515cf5af.png,anodr,anodr,0.943100,0.014609,0.009946,0.016468,0.015877
08037e4490e5.png,anodr,anodr,0.946455,0.008115,0.016142,0.016186,0.013102
0851d6a69589.png,anodr,anodr,0.938523,0.016379,0.014982,0.015768,0.014348
08b6e3240858.png,anodr,anodr,0.902535,0.032346,0.028985,0.018858,0.017277
08bef347f40d.png,anodr,anodr,0.899393,0.033238,0.026683,0.018514,0.022173
08ee569d4721.png,anodr,anodr,0.936836,0.012808,0.012048,0.018691,0.019618
09237bf783a4.png,anodr,anodr,0.937246,0.009299,0.011497,0.022342,0.019616
096436d68d06.png,anodr,anodr,0.950534,0.009812,0.011550,0.014057,0.014047
099021fac3c9.png,anodr,anodr,0.936871,0.008812,0.019675,0.019529,0.015112
09c8323c612e.png,anodr,anodr,0.940579,0.009113,0.013305,0.019662,0.017341
0a38b552372d.png,anodr,anodr,0.931633,0.013169,0.023033,0.016455,0.015710
0a85a1e8f9e9.png,anodr,anodr,0.941207,0.007430,0.015003,0.015804,0.020557
0babc12807b2.png,anodr,bmilddr,0.006771,0.757980,0.207576,0.008290,0.019383
0cbcc7b23613.png,anodr,anodr,0.922128,0.019023,0.037442,0.011837,0.009570
0cd31078cd08.png,anodr,anodr,0.941439,0.011101,0.020820,0.015299,0.011342
0ce062f26edc.png,anodr,anodr,0.925113,0.010220,0.016569,0.033437,0.014661
0cecc2864b7f.png,anodr,anodr,0.950466,0.019704,0.007687,0.013320,0.008823
0d9a9896f801.png,anodr,anodr,0.939530,0.015582,0.016516,0.015457,0.012916
0da321efbce6.png,anodr,anodr,0.944151,0.023484,0.010057,0.012937,0.009372
0db1d8dcf219.png,anodr,anodr,0.930436,0.012612,0.020762,0.021914,0.014276
0e3572b5884a.png,anodr,anodr,0.937013,0.009286,0.015808,0.020944,0.016949
0ef4c61dc056.png,anodr,anodr,0.934990,0.013591,0.010232,0.022034,0.019152
0fbbd665431f.png,anodr,anodr,0.924559,0.041909,0.011590,0.009698,0.012243
0fc6829da85b.png,anodr,anodr,0.940043,0.010101,0.012943,0.018040,0.018871
1002b5151b8e.png,anodr,anodr,0.939652,0.010019,0.009542,0.023275,0.017512
103f97a2ab15.png,anodr,anodr,0.864122,0.088172,0.017883,0.012054,0.017769
10a5026eb8e6.png,anodr,anodr,0.938842,0.008024,0.012263,0.021608,0.019264
10de500cf0c5.png,anodr,anodr,0.945699,0.007835,0.011562,0.018769,0.016135
10f10fd30718.png,anodr,anodr,0.939965,0.010359,0.016054,0.018525,0.015098
12058bbb8299.png,anodr,anodr,0.938291,0.011421,0.012833,0.019318,0.018137
12bc439d373a.png,anodr,anodr,0.925507,0.016239,0.016115,0.023333,0.018806
12ef75375322.png,anodr,anodr,0.916953,0.011918,0.029683,0.018433,0.023012
143db89c11c8.png,anodr,anodr,0.949164,0.012080,0.009901,0.014023,0.014832
15b21c80cc31.png,anodr,anodr,0.929197,0.012777,0.019134,0.020221,0.018671
15e24b73d4a7.png,anodr,anodr,0.926513,0.021703,0.017947,0.017895,0.015941
1633f8291a80.png,anodr,anodr,0.941728,0.016013,0.012310,0.016957,0.012992
165634a6167e.png,anodr,anodr,0.951407,0.009126,0.010945,0.016233,0.012289
178412895d5e.png,anodr,anodr,0.916494,0.010877,0.029599,0.025736,0.017294
186c1835eec5.png,anodr,anodr,0.949887,0.008212,0.014873,0.014532,0.012496
18b7e34eab8f.png,anodr,anodr,0.921225,0.021612,0.021126,0.019618,0.016418
18b99159a14f.png,anodr,anodr,0.936936,0.015546,0.012220,0.018409,0.016888
18ce0cdc473d.png,anodr,anodr,0.929412,0.022972,0.017584,0.015440,0.014592
1a0dbc6c0cda.png,anodr,anodr,0.869294,0.051521,0.048000,0.014484,0.016700
1a1e974a7dbf.png,anodr,anodr,0.931690,0.011532,0.018008,0.020288,0.018482
