filename,prob_anodr,prob_bmilddr,prob_cmoderatedr,prob_dseveredr,prob_eproliferativedr,prediction
002c21358ce6.png,0.942807,0.014818,0.011332,0.015897,0.015147,anodr
005b95c28852.png,0.942442,0.012214,0.014721,0.015153,0.015469,anodr
00cc2b75cddd.png,0.937514,0.018579,0.011117,0.017438,0.015352,anodr
0182152c50de.png,0.942410,0.016674,0.011905,0.016287,0.012723,anodr
02cd34a85b24.png,0.923491,0.033557,0.015711,0.014469,0.012772,anodr
03b373718013.png,0.940827,0.017554,0.011675,0.017164,0.012779,anodr
04aef84a2cc1.png,0.940002,0.013588,0.013066,0.017886,0.015457,anodr
05b1bb2bdb81.png,0.941234,0.012776,0.014111,0.016650,0.015229,anodr
07596907347b.png,0.943277,0.015913,0.010730,0.015952,0.014128,anodr
07751b94a88a.png,0.935095,0.024946,0.011503,0.014480,0.013976,anodr
0790515cf5af.png,0.943429,0.017121,0.012417,0.014880,0.012154,anodr
08037e4490e5.png,0.941169,0.013547,0.013402,0.016424,0.015459,anodr
0851d6a69589.png,0.943688,0.017814,0.009009,0.014242,0.015248,anodr
08b6e3240858.png,0.855054,0.093195,0.016076,0.020151,0.015525,anodr
08bef347f40d.png,0.932951,0.020983,0.023036,0.010744,0.012286,anodr
08ee569d4721.png,0.940775,0.015008,0.011654,0.016395,0.016168,anodr
09237bf783a4.png,0.943689,0.015534,0.010144,0.015227,0.015406,anodr
096436d68d06.png,0.943525,0.011685,0.013514,0.017132,0.014143,anodr
099021fac3c9.png,0.945388,0.012937,0.013384,0.013386,0.014905,anodr
09c8323c612e.png,0.941367,0.016326,0.009863,0.015860,0.016584,anodr
0a38b552372d.png,0.943159,0.015349,0.013352,0.015273,0.012867,anodr
0a85a1e8f9e9.png,0.935640,0.011373,0.028138,0.013560,0.011288,anodr
0babc12807b2.png,0.004729,0.822817,0.141338,0.015810,0.015307,bmilddr
0cbcc7b23613.png,0.933151,0.016764,0.027805,0.007980,0.014300,anodr
0cd31078cd08.png,0.939265,0.015084,0.013379,0.017110,0.015161,anodr
0ce062f26edc.png,0.949723,0.009515,0.014670,0.016243,0.009849,anodr
0cecc2864b7f.png,0.942055,0.017231,0.012809,0.016284,0.011620,anodr
0d9a9896f801.png,0.941152,0.019445,0.010409,0.014491,0.014504,anodr
0da321efbce6.png,0.946188,0.011246,0.012260,0.017342,0.012964,anodr
0db1d8dcf219.png,0.942689,0.012535,0.016420,0.014631,0.013725,anodr
0e3572b5884a.png,0.941636,0.016251,0.011142,0.015633,0.015338,anodr
0ef4c61dc056.png,0.939144,0.019342,0.013055,0.015521,0.012940,anodr
0fbbd665431f.png,0.942521,0.018518,0.009782,0.016237,0.012942,anodr
0fc6829da85b.png,0.944490,0.014160,0.014889,0.014407,0.012054,anodr
1002b5151b8e.png,0.936933,0.018120,0.011065,0.018916,0.014966,anodr
103f97a2ab15.png,0.940922,0.018368,0.011197,0.014075,0.015438,anodr
10a5026eb8e6.png,0.941701,0.013517,0.012743,0.016124,0.015914,anodr
10de500cf0c5.png,0.941257,0.013522,0.011778,0.017819,0.015623,anodr
10f10fd30718.png,0.943433,0.014555,0.011049,0.013965,0.016998,anodr
12058bbb8299.png,0.943900,0.014799,0.012660,0.016924,0.011717,anodr
12bc439d373a.png,0.941513,0.015230,0.013183,0.016642,0.013432,anodr
12ef75375322.png,0.943805,0.013057,0.010790,0.016458,0.015891,anodr
143db89c11c8.png,0.943577,0.014951,0.011475,0.015969,0.014028,anodr
15b21c80cc31.png,0.940997,0.015058,0.010498,0.017147,0.016301,anodr
15e24b73d4a7.png,0.943097,0.014875,0.014938,0.015075,0.012015,anodr
1633f8291a80.png,0.921052,0.036295,0.009415,0.019274,0.013965,anodr
165634a6167e.png,0.942172,0.013809,0.014537,0.015147,0.014335,anodr
178412895d5e.png,0.889380,0.011158,0.047181,0.043330,0.008951,anodr
186c1835eec5.png,0.941928,0.015015,0.010503,0.016786,0.015768,anodr
18b7e34eab8f.png,0.939831,0.015827,0.012467,0.017569,0.014306,anodr
18b99159a14f.png,0.940935,0.017192,0.010407,0.015192,0.016275,anodr
