image_path,true_label,predicted_label,score_anodr,score_bmilddr,score_cmoderatedr,score_dseveredr,score_eproliferativedr
../../../data/data_APTOS/test/anodr/002c21358ce6.png,anodr,anodr,0.943281,0.013746,0.011171,0.016947,0.014855
../../../data/data_APTOS/test/anodr/005b95c28852.png,anodr,anodr,0.941652,0.010622,0.014697,0.015510,0.017519
../../../data/data_APTOS/test/anodr/00cc2b75cddd.png,anodr,anodr,0.945318,0.016032,0.011284,0.014443,0.012923
../../../data/data_APTOS/test/anodr/0182152c50de.png,anodr,anodr,0.948847,0.012015,0.011468,0.013372,0.014298
../../../data/data_APTOS/test/anodr/02cd34a85b24.png,anodr,anodr,0.942445,0.016492,0.011776,0.014679,0.014609
../../../data/data_APTOS/test/anodr/03b373718013.png,anodr,anodr,0.942601,0.017003,0.010828,0.015066,0.014502
../../../data/data_APTOS/test/anodr/04aef84a2cc1.png,anodr,anodr,0.944358,0.012340,0.013489,0.015317,0.014497
../../../data/data_APTOS/test/anodr/05b1bb2bdb81.png,anodr,anodr,0.943110,0.010967,0.011618,0.016572,0.017733
../../../data/data_APTOS/test/anodr/07596907347b.png,anodr,anodr,0.949952,0.011839,0.010162,0.014267,0.013780
../../../data/data_APTOS/test/anodr/07751b94a88a.png,anodr,anodr,0.937096,0.019337,0.013276,0.015785,0.014506
../../../data/data_APTOS/test/anodr/0790515cf5af.png,anodr,anodr,0.940708,0.017232,0.012490,0.015584,0.013987
../../../data/data_APTOS/test/anodr/08037e4490e5.png,anodr,anodr,0.946609,0.012397,0.012559,0.013931,0.014504
../../../data/data_APTOS/test/anodr/0851d6a69589.png,anodr,anodr,0.943684,0.014159,0.012544,0.015443,0.014170
../../../data/data_APTOS/test/anodr/08b6e3240858.png,anodr,anodr,0.944205,0.014302,0.014041,0.013112,0.014340
../../../data/data_APTOS/test/anodr/08bef347f40d.png,anodr,anodr,0.945655,0.011295,0.016014,0.012698,0.014338
../../../data/data_APTOS/test/anodr/08ee569d4721.png,anodr,anodr,0.946524,0.013164,0.011440,0.015438,0.013433
../../../data/data_APTOS/test/anodr/09237bf783a4.png,anodr,anodr,0.940689,0.016649,0.011770,0.015077,0.015814
../../../data/data_APTOS/test/anodr/096436d68d06.png,anodr,anodr,0.945983,0.012677,0.011143,0.014738,0.015459
../../../data/data_APTOS/test/anodr/099021fac3c9.png,anodr,anodr,0.944687,0.012674,0.015008,0.013276,0.014355
../../../data/data_APTOS/test/anodr/09c8323c612e.png,anodr,anodr,0.938151,0.017048,0.013814,0.015665,0.015321
../../../data/data_APTOS/test/anodr/0a38b552372d.png,anodr,anodr,0.946823,0.012950,0.012094,0.014870,0.013263
../../../data/data_APTOS/test/anodr/0a85a1e8f9e9.png,anodr,anodr,0.939962,0.009275,0.015190,0.016869,0.018704
../../../data/data_APTOS/test/anodr/0babc12807b2.png,anodr,bmilddr,0.004271,0.773358,0.165727,0.019403,0.037241
../../../data/data_APTOS/test/anodr/0cbcc7b23613.png,anodr,anodr,0.931265,0.019803,0.027041,0.011537,0.010355
../../../data/data_APTOS/test/anodr/0cd31078cd08.png,anodr,anodr,0.949466,0.012709,0.013327,0.011983,0.012515
../../../data/data_APTOS/test/anodr/0ce062f26edc.png,anodr,anodr,0.951705,0.010043,0.010105,0.016291,0.011857
../../../data/data_APTOS/test/anodr/0cecc2864b7f.png,anodr,anodr,0.947980,0.011980,0.009507,0.016676,0.013857
../../../data/data_APTOS/test/anodr/0d9a9896f801.png,anodr,anodr,0.940637,0.017155,0.013301,0.015602,0.013305
../../../data/data_APTOS/test/anodr/0da321efbce6.png,anodr,anodr,0.945775,0.017159,0.010617,0.014094,0.012355
../../../data/data_APTOS/test/anodr/0db1d8dcf219.png,anodr,anodr,0.942518,0.011523,0.015762,0.016971,0.013226
../../../data/data_APTOS/test/anodr/0e3572b5884a.png,anodr,anodr,0.943117,0.015071,0.011718,0.015443,0.014651
../../../data/data_APTOS/test/anodr/0ef4c61dc056.png,anodr,anodr,0.944219,0.014490,0.011707,0.015101,0.014481
../../../data/data_APTOS/test/anodr/0fbbd665431f.png,anodr,anodr,0.949591,0.015481,0.007928,0.014134,0.012865
../../../data/data_APTOS/test/anodr/0fc6829da85b.png,anodr,anodr,0.943576,0.012782,0.011911,0.014984,0.016747
../../../data/data_APTOS/test/anodr/1002b5151b8e.png,anodr,anodr,0.942955,0.013481,0.011477,0.017075,0.015012
../../../data/data_APTOS/test/anodr/103f97a2ab15.png,anodr,anodr,0.944889,0.009985,0.015974,0.013684,0.015468
../../../data/data_APTOS/test/anodr/10a5026eb8e6.png,anodr,anodr,0.938387,0.015499,0.011217,0.017186,0.017711
../../../data/data_APTOS/test/anodr/10de500cf0c5.png,anodr,anodr,0.945290,0.012592,0.013085,0.014678,0.014355
../../../data/data_APTOS/test/anodr/10f10fd30718.png,anodr,anodr,0.943241,0.013850,0.011878,0.015972,0.015058
../../../data/data_APTOS/test/anodr/12058bbb8299.png,anodr,anodr,0.940855,0.016304,0.012842,0.015033,0.014966
../../../data/data_APTOS/test/anodr/12bc439d373a.png,anodr,anodr,0.939170,0.015382,0.012373,0.017140,0.015935
../../../data/data_APTOS/test/anodr/12ef75375322.png,anodr,anodr,0.946509,0.012430,0.010838,0.015077,0.015146
../../../data/data_APTOS/test/anodr/143db89c11c8.png,anodr,anodr,0.939685,0.017848,0.011854,0.015138,0.015475
../../../data/data_APTOS/test/anodr/15b21c80cc31.png,anodr,anodr,0.941783,0.013751,0.011367,0.016442,0.016656
../../../data/data_APTOS/test/anodr/15e24b73d4a7.png,anodr,anodr,0.939299,0.016821,0.014141,0.015848,0.013891
../../../data/data_APTOS/test/anodr/1633f8291a80.png,anodr,anodr,0.941523,0.014661,0.011989,0.016918,0.014908
../../../data/data_APTOS/test/anodr/165634a6167e.png,anodr,anodr,0.949034,0.010304,0.010784,0.015212,0.014667
../../../data/data_APTOS/test/anodr/178412895d5e.png,anodr,anodr,0.940231,0.015373,0.014883,0.010556,0.018958
../../../data/data_APTOS/test/anodr/186c1835eec5.png,anodr,anodr,0.945953,0.014488,0.010027,0.013917,0.015614
../../../data/data_APTOS/test/anodr/18b7e34eab8f.png,anodr,anodr,0.940200,0.016752,0.013348,0.016337,0.013363
../../../data/data_APTOS/test/anodr/18b99159a14f.png,anodr,anodr,0.942703,0.016465,0.011507,0.013900,0.015426
../../../data/data_APTOS/test/anodr/18ce0cdc473d.png,anodr,anodr,0.944614,0.014319,0.010521,0.015991,0.014555
../../../data/data_APTOS/test/anodr/1a0dbc6c0cda.png,anodr,anodr,0.928622,0.018051,0.028773,0.012703,0.011851
../../../data/data_APTOS/test/anodr/1a1e974a7dbf.png,anodr,anodr,0.942403,0.017822,0.011672,0.014713,0.013389
../../../data/data_APTOS/test/anodr/1c47815f4a6b.png,anodr,anodr,0.921784,0.007385,0.043536,0.017172,0.010122
../../../data/data_APTOS/test/anodr/1ca62b3e4fd3.png,anodr,anodr,0.947070,0.012246,0.010125,0.014821,0.015739
../../../data/data_APTOS/test/anodr/1d0b93317aa8.png,anodr,anodr,0.944966,0.011713,0.012616,0.014463,0.016242
../../../data/data_APTOS/test/anodr/1d3e9b939732.png,anodr,anodr,0.936570,0.018396,0.014433,0.015483,0.015119
../../../data/data_APTOS/test/anodr/1d74c4713e21.png,anodr,anodr,0.947169,0.010796,0.012384,0.014196,0.015454
../../../data/data_APTOS/test/anodr/1db0393cdbc1.png,anodr,anodr,0.945160,0.011496,0.011424,0.016770,0.015150
../../../data/data_APTOS/test/anodr/1df1530b9b8d.png,anodr,anodr,0.941413,0.017606,0.012240,0.014371,0.014370
../../../data/data_APTOS/test/anodr/1e742358e0b9.png,anodr,anodr,0.940741,0.018113,0.008420,0.016663,0.016062
../../../data/data_APTOS/test/anodr/1e7ccd4a1c87.png,anodr,anodr,0.943420,0.012741,0.012971,0.015444,0.015425
../../../data/data_APTOS/test/anodr/1ec95179cdfe.png,anodr,anodr,0.950296,0.010277,0.009523,0.016528,0.013376
../../../data/data_APTOS/test/anodr/1f31701dd61b.png,anodr,anodr,0.953390,0.007777,0.014144,0.013833,0.010856
../../../data/data_APTOS/test/anodr/1f5496352859.png,anodr,anodr,0.946100,0.012364,0.011860,0.015726,0.013949
../../../data/data_APTOS/test/anodr/218c822a3dd9.png,anodr,anodr,0.940089,0.016392,0.013788,0.015324,0.014406
../../../data/data_APTOS/test/anodr/224c14366e11.png,anodr,anodr,0.944641,0.013676,0.011090,0.015970,0.014623
../../../data/data_APTOS/test/anodr/226c6ceb9185.png,anodr,anodr,0.945165,0.014953,0.013127,0.013424,0.013331
../../../data/data_APTOS/test/anodr/237aa50edc34.png,anodr,anodr,0.948698,0.011163,0.010969,0.014911,0.014259
