filename,anodr_score,bmilddr_score,cmoderatedr_score,dseveredr_score,eproliferativedr_score,predicted_class
20051020_43808_0100_PP_967.png,0.744683,0.066119,0.105509,0.036733,0.046956,anodr
20051020_44261_0100_PP_1191.png,0.932033,0.023884,0.022225,0.010414,0.011444,anodr
20051020_44284_0100_PP_502.png,0.883741,0.029246,0.050008,0.015753,0.021253,anodr
20051020_44338_0100_PP_547.png,0.710087,0.061146,0.144202,0.029272,0.055292,anodr
20051020_44400_0100_PP_920.png,0.799418,0.058793,0.091838,0.018991,0.030960,anodr
20051020_44431_0100_PP_514.png,0.802862,0.052531,0.087587,0.017965,0.039055,anodr
20051020_44692_0100_PP_419.png,0.745401,0.063913,0.119769,0.028804,0.042113,anodr
20051020_44714_0100_PP_1199.png,0.780572,0.053960,0.106823,0.026010,0.032635,anodr
20051020_44982_0100_PP_486.png,0.808965,0.047311,0.083984,0.022403,0.037337,anodr
20051020_56791_0100_PP_1185.png,0.827835,0.054358,0.079621,0.017911,0.020275,anodr
20051020_57157_0100_PP_971.png,0.718720,0.075683,0.140446,0.029965,0.035186,anodr
20051020_57967_0100_PP_829.png,0.829410,0.050728,0.079210,0.017478,0.023174,anodr
20051020_58065_0100_PP_561.png,0.908479,0.035447,0.031998,0.010296,0.013781,anodr
20051020_61757_0100_PP_484.png,0.905424,0.022757,0.042554,0.014428,0.014838,anodr
20051020_62461_0100_PP_76.png,0.747607,0.060304,0.120275,0.027798,0.044015,anodr
20051020_62510_0100_PP_106.png,0.652218,0.092334,0.163405,0.037511,0.054532,anodr
20051020_62577_0100_PP_479.png,0.815264,0.048478,0.089873,0.021306,0.025078,anodr
20051020_62615_0100_PP_294.png,0.778777,0.053483,0.108670,0.025141,0.033928,anodr
20051020_63269_0100_PP_1183.png,0.700252,0.069588,0.130924,0.040634,0.058602,anodr
20051020_63337_0100_PP_471.png,0.783654,0.055904,0.107064,0.019244,0.034134,anodr
20051020_64249_0100_PP_1004.png,0.861712,0.041147,0.060946,0.018053,0.018142,anodr
20051020_64388_0100_PP_1194.png,0.898933,0.025473,0.046817,0.013174,0.015603,anodr
20051020_64653_0100_PP_124.png,0.508635,0.123172,0.233612,0.064922,0.069659,anodr
20051020_64775_0100_PP_480.png,0.833559,0.050614,0.074995,0.018705,0.022126,anodr
20051020_64836_0100_PP_1270.png,0.882740,0.033865,0.052172,0.014419,0.016804,anodr
20051021_36380_0100_PP_135.png,0.816984,0.053356,0.084925,0.020743,0.023993,anodr
20051021_36476_0100_PP_1243.png,0.729700,0.069886,0.138237,0.030573,0.031604,anodr
20051021_39845_0100_PP_315.png,0.870718,0.036201,0.057817,0.014722,0.020542,anodr
20051021_39914_0100_PP_1352.png,0.753559,0.057912,0.115473,0.032198,0.040858,anodr
20051021_51418_0100_PP_18.png,0.902221,0.029369,0.041586,0.011889,0.014935,anodr
20051021_51476_0100_PP_150.png,0.727379,0.059515,0.128634,0.037820,0.046651,anodr
20051021_51936_0100_PP_1379.png,0.804465,0.054496,0.086631,0.020402,0.034006,anodr
20051021_51994_0100_PP_1283.png,0.730178,0.069621,0.125167,0.026672,0.048361,anodr
20051021_57798_0100_PP_1322.png,0.840977,0.043324,0.069801,0.016281,0.029616,anodr
20051021_57862_0100_PP_372.png,0.720270,0.064030,0.141063,0.027000,0.047637,anodr
20051021_57975_0100_PP_517.png,0.899696,0.025213,0.044619,0.012517,0.017956,anodr
20051021_58035_0100_PP_1138.png,0.802685,0.046087,0.092074,0.025997,0.033156,anodr
20051021_58388_0100_PP_1300.png,0.824074,0.037029,0.076747,0.027821,0.034329,anodr
20051021_58522_0100_PP_50.png,0.761426,0.065410,0.106494,0.027406,0.039265,anodr
20051109_57843_0400_PP_1109.png,0.892234,0.036058,0.040736,0.011207,0.019765,anodr
20051109_59969_0400_PP_1079.png,0.640081,0.069335,0.184090,0.044507,0.061987,anodr
20051109_60031_0400_PP_528.png,0.678845,0.069310,0.177314,0.032373,0.042157,anodr
20051109_60136_0400_PP_905.png,0.820812,0.041708,0.083736,0.021215,0.032528,anodr
20051110_33960_0400_PP_35.png,0.749528,0.050128,0.123759,0.028958,0.047627,anodr
20051110_34013_0400_PP_151.png,0.711653,0.088365,0.129808,0.027132,0.043041,anodr
20051110_35239_0400_PP_836.png,0.893773,0.031210,0.048459,0.011122,0.015436,anodr
20051110_35279_0400_PP_1033.png,0.832060,0.048694,0.077645,0.016569,0.025032,anodr
20051110_35332_0400_PP_497.png,0.728146,0.073065,0.135327,0.028775,0.034688,anodr
20051110_37992_0400_PP_1043.png,0.893325,0.026931,0.047983,0.012197,0.019564,anodr
20051110_38111_0400_PP_429.png,0.911391,0.027909,0.038034,0.009480,0.013187,anodr
20051110_38156_0400_PP_477.png,0.868794,0.043459,0.053554,0.012138,0.022055,anodr
20051110_38280_0400_PP_83.png,0.801363,0.058026,0.076692,0.025236,0.038684,anodr
20051110_38313_0400_PP_1041.png,0.655766,0.075348,0.160353,0.049394,0.059139,anodr
20051110_38352_0400_PP_934.png,0.532344,0.125284,0.202281,0.065422,0.074668,anodr
20051110_38472_0400_PP_1127.png,0.664703,0.095388,0.169295,0.028427,0.042188,anodr
20051110_38507_0400_PP_1190.png,0.445092,0.125433,0.280233,0.063846,0.085396,anodr
20051116_43388_0400_PP_344.png,0.813608,0.051973,0.089131,0.018140,0.027147,anodr
20051116_43585_0400_PP_950.png,0.581309,0.100372,0.213175,0.043446,0.061698,anodr
20051116_43710_0400_PP_95.png,0.841513,0.038356,0.061313,0.025615,0.033203,anodr
20051116_43721_0400_PP_363.png,0.699386,0.071572,0.137043,0.038318,0.053681,anodr
20051116_43785_0400_PP_445.png,0.722537,0.069478,0.132887,0.030578,0.044521,anodr
20051116_43801_0400_PP_325.png,0.656026,0.081327,0.169035,0.040002,0.053610,anodr
20051116_44648_0400_PP_1036.png,0.705211,0.080508,0.129534,0.034780,0.049967,anodr
20051117_37042_0400_PP_1119.png,0.654338,0.093140,0.161992,0.034933,0.055597,anodr
20051117_37051_0400_PP_1136.png,0.679740,0.073390,0.175675,0.029302,0.041893,anodr
20051117_37078_0400_PP_559.png,0.677665,0.089173,0.139456,0.041325,0.052380,anodr
20051117_37100_0400_PP_1083.png,0.692600,0.077396,0.131176,0.042029,0.056799,anodr
20051117_37130_0400_PP_938.png,0.649642,0.076167,0.168700,0.045604,0.059887,anodr
20051117_37155_0400_PP_84.png,0.772520,0.052765,0.102134,0.029641,0.042941,anodr
20051117_37185_0400_PP_404.png,0.835290,0.045117,0.075454,0.016327,0.027812,anodr
20051117_37321_0400_PP_947.png,0.756280,0.059228,0.117737,0.027209,0.039547,anodr
20051130_53586_0400_PP_1121.png,0.767684,0.065580,0.096671,0.027633,0.042432,anodr
20051130_53623_0400_PP_894.png,0.772273,0.046262,0.116386,0.028457,0.036623,anodr
20051130_53663_0400_PP_510.png,0.749529,0.043697,0.124311,0.035604,0.046860,anodr
20051130_53991_0400_PP_277.png,0.794946,0.041775,0.104831,0.025018,0.033431,anodr
20051130_54030_0400_PP_946.png,0.801029,0.047297,0.090542,0.023172,0.037960,anodr
20051130_54077_0400_PP_1117.png,0.854366,0.041696,0.064635,0.015548,0.023754,anodr
20051130_54121_0400_PP_1281.png,0.800216,0.055193,0.091638,0.019106,0.033848,anodr
20051130_54257_0400_PP_506.png,0.773031,0.057646,0.105958,0.024185,0.039180,anodr
20051130_54301_0400_PP_93.png,0.615010,0.081545,0.186949,0.042504,0.073993,anodr
20051130_54323_0400_PP_978.png,0.512051,0.113320,0.252061,0.048376,0.074192,anodr
20051130_54476_0400_PP_394.png,0.910336,0.027372,0.035557,0.009648,0.017087,anodr
20051130_54498_0400_PP_1217.png,0.813851,0.046770,0.078008,0.021638,0.039734,anodr
20051130_54595_0400_PP_940.png,0.580812,0.105536,0.201233,0.038719,0.073700,anodr
20051130_54802_0400_PP_550.png,0.894900,0.028645,0.048838,0.011581,0.016037,anodr
20051130_54846_0400_PP_289.png,0.860948,0.035927,0.064686,0.015576,0.022862,anodr
20051130_54943_0400_PP_1044.png,0.864037,0.035310,0.060051,0.016638,0.023964,anodr
20051130_54956_0400_PP_875.png,0.877629,0.032452,0.055405,0.014571,0.019943,anodr
20051130_55004_0400_PP_1259.png,0.776470,0.060489,0.103877,0.023675,0.035490,anodr
20051130_55012_0400_PP_865.png,0.720854,0.062418,0.127752,0.034229,0.054746,anodr
20051130_55037_0400_PP_443.png,0.813914,0.048101,0.083830,0.023343,0.030812,anodr
20051130_55048_0400_PP_921.png,0.769987,0.065244,0.103948,0.028289,0.032532,anodr
20051130_55074_0400_PP_986.png,0.811479,0.044537,0.090377,0.021505,0.032103,anodr
20051130_55086_0400_PP_1152.png,0.789544,0.060419,0.093554,0.022971,0.033513,anodr
20051130_55107_0400_PP_316.png,0.462869,0.115249,0.245696,0.078727,0.097459,anodr
20051130_55160_0400_PP_1182.png,0.783381,0.057653,0.105605,0.020202,0.033159,anodr
20051130_55269_0400_PP_820.png,0.764566,0.067185,0.112853,0.021349,0.034047,anodr
20051130_55311_0400_PP_896.png,0.829196,0.050200,0.079337,0.016567,0.024700,anodr
20051130_55323_0400_PP_883.png,0.840643,0.048876,0.068030,0.015866,0.026585,anodr
20051130_55381_0400_PP_504.png,0.842347,0.042631,0.074665,0.017510,0.022846,anodr
20051130_55393_0400_PP_1251.png,0.829424,0.046898,0.078571,0.018527,0.026580,anodr
20051130_58716_0400_PP_355.png,0.660785,0.072340,0.173129,0.044228,0.049518,anodr
20051130_58824_0400_PP_1181.png,0.405615,0.124559,0.301192,0.080421,0.088213,anodr
20051130_58874_0400_PP_1359.png,0.800931,0.052467,0.083982,0.028968,0.033652,anodr
20051130_58888_0400_PP_284.png,0.699925,0.089968,0.126726,0.036193,0.047188,anodr
20051130_58962_0400_PP_973.png,0.707927,0.064347,0.147919,0.034221,0.045586,anodr
20051130_58998_0400_PP_543.png,0.883896,0.026082,0.051527,0.017627,0.020867,anodr
20051130_59029_0400_PP_270.png,0.757473,0.054302,0.123514,0.029222,0.035489,anodr
20051130_59186_0400_PP_350.png,0.730528,0.075321,0.122424,0.030036,0.041691,anodr
20051130_59284_0400_PP_853.png,0.839102,0.051794,0.068208,0.018522,0.022374,anodr
20051130_59374_0400_PP_410.png,0.818473,0.046928,0.091650,0.019683,0.023266,anodr
20051130_59404_0400_PP_392.png,0.730242,0.070332,0.136426,0.027388,0.035611,anodr
20051130_59457_0400_PP_1053.png,0.790015,0.060137,0.098075,0.024243,0.027530,anodr
20051130_59464_0400_PP_1141.png,0.855411,0.044029,0.064790,0.016730,0.019040,anodr
20051130_59749_0400_PP_965.png,0.601752,0.085836,0.195613,0.049770,0.067029,anodr
20051130_59775_0400_PP_1224.png,0.568130,0.097432,0.219257,0.047641,0.067539,anodr
20051130_59793_0400_PP_926.png,0.662543,0.088268,0.162680,0.036448,0.050061,anodr
20051130_59802_0400_PP_430.png,0.698408,0.078143,0.152545,0.029366,0.041538,anodr
20051130_59850_0400_PP_36.png,0.819333,0.043031,0.089879,0.022932,0.024825,anodr
20051130_59869_0400_PP_520.png,0.850203,0.037024,0.077381,0.015653,0.019739,anodr
20051130_59964_0400_PP_312.png,0.758131,0.058334,0.124957,0.025549,0.033029,anodr
20051130_59993_0400_PP_439.png,0.776456,0.058099,0.107293,0.022602,0.035549,anodr
20051130_60040_0400_PP_1355.png,0.818542,0.043990,0.093187,0.019222,0.025059,anodr
20051130_60066_0400_PP_1170.png,0.830188,0.042066,0.082855,0.018208,0.026684,anodr
20051130_60186_0400_PP_1365.png,0.799851,0.052310,0.093737,0.021470,0.032632,anodr
20051130_60234_0400_PP_453.png,0.712409,0.069942,0.150478,0.028173,0.038998,anodr
20051130_60448_0400_PP_860.png,0.604753,0.072985,0.204417,0.051329,0.066515,anodr
20051130_60490_0400_PP_828.png,0.650542,0.064432,0.174553,0.044492,0.065981,anodr
