filename,predicted_class,prob_anormal,prob_cglaucoma
RET027OD.jpg,anormal,0.745,0.255
RET035OD.jpg,anormal,0.731,0.269
RET035OS.jpg,anormal,0.7534,0.2463
RET096OD.jpg,anormal,0.7344,0.2656
RET098OD.jpg,anormal,0.7256,0.2744
RET107OD.jpg,anormal,0.733,0.2668
RET129OS.jpg,anormal,0.73,0.27
RET131OD.jpg,anormal,0.734,0.2659
RET132OD.jpg,anormal,0.7344,0.2659
RET133OD.jpg,anormal,0.719,0.2805
RET137OD.jpg,anormal,0.693,0.3071
RET141OS.jpg,anormal,0.688,0.312
RET146OS.jpg,anormal,0.725,0.2747
RET150OS.jpg,anormal,0.711,0.2888
RET153OS.jpg,anormal,0.713,0.2869
RET163OS.jpg,anormal,0.7407,0.2593
RET168OS.jpg,anormal,0.7188,0.2815
RET175OD.jpg,anormal,0.7134,0.2866
RET177OD.jpg,anormal,0.714,0.2861
RET177OS.jpg,anormal,0.7227,0.277
RET178OD.jpg,anormal,0.7217,0.2783
RET181OS.jpg,anormal,0.7275,0.2725
RET182OD.jpg,anormal,0.731,0.269
RET184OD.jpg,anormal,0.728,0.272
RET184OS.jpg,anormal,0.713,0.287
RET190OS.jpg,anormal,0.7383,0.262
RET191OS.jpg,anormal,0.7256,0.2742
RET192OS.jpg,anormal,0.736,0.2642
RET197OD.jpg,anormal,0.7314,0.2686
RET198OD.jpg,anormal,0.711,0.289
RET198OS.jpg,anormal,0.734,0.266
RET199OD.jpg,anormal,0.738,0.2622
RET200OD.jpg,anormal,0.7163,0.2834
RET200OS.jpg,anormal,0.7324,0.2676
RET201OD.jpg,anormal,0.73,0.27
RET202OD.jpg,anormal,0.736,0.2644
RET203OD.jpg,anormal,0.7324,0.2676
RET203OS.jpg,anormal,0.7197,0.2803
RET210OD.jpg,anormal,0.7324,0.2673
RET211OS.jpg,anormal,0.7207,0.2795
RET212OD.jpg,anormal,0.731,0.2688
RET213OS.jpg,anormal,0.7217,0.2783
RET216OD.jpg,anormal,0.737,0.2632
RET216OS.jpg,anormal,0.743,0.257
RET220OD.jpg,anormal,0.7236,0.2761
RET220OS.jpg,anormal,0.7324,0.2678
RET224OD.jpg,anormal,0.7188,0.281
RET228OS.jpg,anormal,0.7188,0.2815
RET231OD.jpg,anormal,0.74,0.2598
RET237OD.jpg,anormal,0.7363,0.264
RET245OS.jpg,anormal,0.7275,0.2725
RET252OS.jpg,anormal,0.7246,0.2754
RET253OD.jpg,anormal,0.729,0.2708
RET253OS.jpg,anormal,0.7373,0.2627
RET256OD.jpg,anormal,0.727,0.273
RET258OD.jpg,anormal,0.7314,0.2688
RET259OD.jpg,anormal,0.7246,0.2751
RET261OS.jpg,anormal,0.725,0.2751
RET267OD.jpg,anormal,0.737,0.2634
RET271OS.jpg,anormal,0.7236,0.2764
RET272OD.jpg,anormal,0.719,0.2808
RET277OS.jpg,anormal,0.724,0.276
RET282OD.jpg,anormal,0.713,0.2874
RET282OS.jpg,anormal,0.7344,0.2659
RET283OS.jpg,anormal,0.733,0.2668
RET285OS.jpg,anormal,0.7363,0.2634
RET291OD.jpg,anormal,0.7344,0.2659
RET002OD.jpg,anormal,0.7236,0.2764
RET006OS.jpg,anormal,0.7173,0.2827
RET053OD.jpg,anormal,0.6934,0.3066
RET066OS.jpg,anormal,0.7197,0.2805
RET089OD.jpg,anormal,0.732,0.2683
RET091OD.jpg,anormal,0.724,0.276
RET102OD.jpg,anormal,0.739,0.2612
RET106OD.jpg,anormal,0.735,0.265
RET114OS.jpg,anormal,0.7314,0.2686
RET120OD.jpg,anormal,0.723,0.277
RET120OS.jpg,anormal,0.7236,0.2764
RET122OD.jpg,anormal,0.7285,0.2715
RET122OS.jpg,anormal,0.731,0.2693
RET276OS.jpg,anormal,0.7227,0.2773
