filename,prob_anodr,prob_bmilddr,prob_cmoderatedr,prob_dseveredr,prob_eproliferativedr,pred_class
anodr/20051020_43808_0100_PP_967.png,0.910811,0.029466,0.018983,0.022565,0.018175,anodr
anodr/20051020_44261_0100_PP_1191.png,0.915477,0.026001,0.020060,0.019914,0.018548,anodr
anodr/20051020_44284_0100_PP_502.png,0.922244,0.020635,0.018866,0.019906,0.018349,anodr
anodr/20051020_44338_0100_PP_547.png,0.905342,0.035382,0.021262,0.020998,0.017017,anodr
anodr/20051020_44400_0100_PP_920.png,0.909175,0.037440,0.017115,0.021691,0.014579,anodr
anodr/20051020_44431_0100_PP_514.png,0.907534,0.032942,0.025740,0.017463,0.016322,anodr
anodr/20051020_44692_0100_PP_419.png,0.914705,0.026908,0.028360,0.014894,0.015133,anodr
anodr/20051020_44714_0100_PP_1199.png,0.913098,0.029861,0.016821,0.021766,0.018454,anodr
anodr/20051020_44982_0100_PP_486.png,0.462378,0.398446,0.106977,0.020208,0.011990,anodr
anodr/20051020_56791_0100_PP_1185.png,0.917034,0.029984,0.015526,0.021516,0.015940,anodr
anodr/20051020_57157_0100_PP_971.png,0.707451,0.213348,0.047421,0.019241,0.012539,anodr
anodr/20051020_57967_0100_PP_829.png,0.930956,0.017054,0.017280,0.020551,0.014159,anodr
anodr/20051020_58065_0100_PP_561.png,0.929119,0.019296,0.014646,0.022024,0.014915,anodr
anodr/20051020_61757_0100_PP_484.png,0.934021,0.014323,0.017447,0.020848,0.013361,anodr
anodr/20051020_62461_0100_PP_76.png,0.773607,0.076031,0.096268,0.025202,0.028892,anodr
anodr/20051020_62510_0100_PP_106.png,0.510914,0.110895,0.262497,0.037123,0.078570,anodr
anodr/20051020_62577_0100_PP_479.png,0.919470,0.024550,0.017855,0.023598,0.014527,anodr
anodr/20051020_62615_0100_PP_294.png,0.914013,0.027968,0.017623,0.023257,0.017140,anodr
anodr/20051020_63269_0100_PP_1183.png,0.905749,0.032305,0.019612,0.023702,0.018631,anodr
anodr/20051020_63337_0100_PP_471.png,0.908127,0.042383,0.014780,0.019288,0.015422,anodr
anodr/20051020_64249_0100_PP_1004.png,0.924406,0.022638,0.016491,0.021907,0.014558,anodr
anodr/20051020_64388_0100_PP_1194.png,0.920394,0.021953,0.017753,0.023850,0.016050,anodr
anodr/20051020_64653_0100_PP_124.png,0.920356,0.023686,0.017881,0.021401,0.016677,anodr
anodr/20051020_64775_0100_PP_480.png,0.925977,0.021710,0.018578,0.019060,0.014676,anodr
anodr/20051020_64836_0100_PP_1270.png,0.923631,0.022054,0.018461,0.019659,0.016194,anodr
anodr/20051021_36380_0100_PP_135.png,0.919389,0.029655,0.016159,0.020888,0.013909,anodr
anodr/20051021_36476_0100_PP_1243.png,0.917383,0.023517,0.017792,0.024823,0.016485,anodr
anodr/20051021_39845_0100_PP_315.png,0.897410,0.033275,0.021464,0.026884,0.020966,anodr
anodr/20051021_39914_0100_PP_1352.png,0.908350,0.029816,0.019434,0.025510,0.016889,anodr
anodr/20051021_51418_0100_PP_18.png,0.909299,0.028469,0.019241,0.023718,0.019273,anodr
anodr/20051021_51476_0100_PP_150.png,0.919958,0.030870,0.019217,0.015721,0.014234,anodr
anodr/20051021_51936_0100_PP_1379.png,0.890507,0.049812,0.018433,0.024275,0.016973,anodr
anodr/20051021_51994_0100_PP_1283.png,0.904782,0.036720,0.017697,0.022449,0.018351,anodr
anodr/20051021_57798_0100_PP_1322.png,0.912237,0.028663,0.022575,0.020544,0.015981,anodr
anodr/20051021_57862_0100_PP_372.png,0.915890,0.032181,0.017944,0.019185,0.014799,anodr
anodr/20051021_57975_0100_PP_517.png,0.913715,0.021506,0.035599,0.016631,0.012549,anodr
anodr/20051021_58035_0100_PP_1138.png,0.917905,0.023850,0.029709,0.013368,0.015168,anodr
anodr/20051021_58388_0100_PP_1300.png,0.923023,0.021349,0.017122,0.021655,0.016851,anodr
anodr/20051021_58522_0100_PP_50.png,0.918197,0.024057,0.017360,0.022292,0.018094,anodr
anodr/20051109_57843_0400_PP_1109.png,0.923941,0.030468,0.014378,0.017636,0.013578,anodr
anodr/20051109_59969_0400_PP_1079.png,0.913295,0.034065,0.014677,0.022679,0.015284,anodr
anodr/20051109_60031_0400_PP_528.png,0.904334,0.046324,0.019151,0.017853,0.012338,anodr
anodr/20051109_60136_0400_PP_905.png,0.911185,0.031552,0.018374,0.020502,0.018387,anodr
